Site,Location,Latitude,Longitude,Historic Survey 1 Date,Historic Survey 2 Date,Resurvey 1 Date,Resurvey 2 Date,Resurvey 3 Date,Historic Richness (Average),Historic Richness 1993-1994,Historic Richness 1995,2017 Richness,2018 Richness,Modern Richness (Average)
2,Taylor Islet,48.82743,-125.198038,03-Jun-93,19-May-95,05-Sep-17,NA,2018-08-11,11,12,10,8,7,7.5
3,Execution Rock,48.812146,-125.180139,04-Jun-93,30-Jun-95,06-Sep-17,NA,2018-08-11,9,11,7,8,6,7
4,Execution Rock,48.812041,-125.179913,04-Jun-93,30-Jun-95,06-Sep-17,NA,2018-08-11,10,11,9,10,7,8.5
5,Grappler Inlet,48.838243,-125.13494,07-Jun-93,28-Jun-95,24-Jun-17,06-Sep-17,2018-07-11,3.5,5,2,3,2,2.5
6,Grappler Inlet,48.838181,-125.134626,07-Jun-93,28-Jun-95,07-Sep-17,NA,2018-07-11,2.5,3,2,1,1,1
7,Dixon Island,48.851866,-125.123474,08-Jun-93,19-May-95,24-Jun-17,07-Sep-17,2018-07-11,6.5,8,5,1,0,0.5
8,Dixon Island,48.852223,-125.122775,08-Jun-93,19-May-95,24-Jun-17,07-Sep-17,2018-07-11,5,6,4,1,1,1
9,Edward King Island,48.82448,-125.213356,13-Jul-93,16-Jun-95,06-Sep-17,NA,2018-08-12,7,8,6,5,7,6
11,Bordelais Islets,48.818086,-125.230454,04-Jul-93,27-Jun-95,05-Sep-17,NA,2018-08-12,9.5,8,11,5,5,5
12,Bordelais Islets,48.817634,-125.229917,04-Jul-93,27-Jun-95,05-Sep-17,NA,2018-08-12,8,9,7,6,7,6.5
13,Edward King Island,48.828558,-125.204139,05-Jul-93,NA,28-Jun-17,06-Sep-17,2018-07-10,7,7,NA,4,5,4.5
14,Edward King Island,48.828717,-125.204389,05-Jul-93,NA,06-Sep-17,NA,2018-07-10,10,10,NA,5,5,5
30,Wouwer Island,48.860772,-125.357202,22-Jul-93,27-Aug-95,07-Sep-17,NA,NA,4.5,8,1,3,NA,3
32,Wouwer Island,48.861302,-125.357366,22-Jul-93,13-Jul-95,07-Sep-17,NA,NA,6.5,6,7,2,NA,2
34,Clarke Island,48.888457,-125.373135,01-Aug-93,NA,27-Jun-17,09-Sep-17,2018-08-14,5,5,NA,4,6,5
36,Faber Islets,48.894443,-125.298961,18-Aug-93,11-Aug-95,27-Jun-17,NA,2018-08-13,4,5,3,5,2,3.5
41,Dempster Island,48.904582,-125.263939,03-Aug-93,15-Jul-95,27-Jun-17,09-Sep-17,2018-08-13,4,5,3,1,1,1
43,Swale Rock,48.925732,-125.221832,20-Aug-93,19-Aug-95,09-Sep-17,NA,2018-08-14,3,3,3,1,1,1
44,Swale Rock,48.925484,-125.222428,20-Aug-93,19-Aug-95,09-Sep-17,NA,2018-08-14,3.5,4,3,4,3,3.5
45,Reeks Island,48.922616,-125.225964,20-Aug-93,19-Aug-95,09-Sep-17,NA,2018-08-14,4.5,5,4,2,4,3
46,Reeks Island,48.922907,-125.225972,20-Aug-93,19-Aug-95,09-Sep-17,NA,2018-08-14,3.5,3,4,3,2,2.5
76,Turtle Island,48.907905,-125.310621,26-May-94,17-May-95,27-Jun-17,NA,2018-08-14,1.5,1,2,0,1,0.5
77,Mullins Island,48.908379,-125.297087,25-May-94,17-May-95,27-Jun-17,NA,2018-08-14,2.5,2,3,1,1,1
78,Mullins Island,48.907967,-125.297332,25-May-94,17-May-95,27-Jun-17,NA,2018-08-14,1.5,2,1,1,1,1
79,Keith Island,48.910532,-125.290631,25-May-94,17-May-95,27-Jun-17,NA,2018-08-14,2,3,1,1,1,1
81,Island by Parks Canada Float Cabin,48.923335,-125.255429,26-May-94,17-May-95,09-Sep-17,NA,2018-08-14,1.5,2,1,1,0,0.5
87,Ohiat Island,48.853069,-125.182697,27-May-94,13-Jun-95,25-Jun-17,10-Sep-17,2018-08-11,7,8,6,3,3,3
88,Ohiat Island,48.853069,-125.182697,27-May-94,13-Jun-95,25-Jun-17,10-Sep-17,2018-08-11,7,7,7,3,2,2.5
89,Ohiat Island,48.851451,-125.184224,27-May-94,13-Jun-95,25-Jun-17,10-Sep-17,2018-08-11,6,7,5,3,4,3.5
90,Ohiat Island,48.851917,-125.181785,27-May-94,13-Jun-95,25-Jun-17,10-Sep-17,2018-08-11,2.5,3,2,2,2,2
91,Mullins Island,48.907974,-125.297047,25-May-94,17-May-95,27-Jun-17,NA,2018-08-14,1,1,1,1,0,0.5
92,Ross Islets,48.868131,-125.160674,29-May-94,19-May-95,25-Jun-17,10-Sep-17,2018-08-10,3,4,2,0,1,0.5
93,Ross Islets,48.86774,-125.16022,29-May-94,19-May-95,25-Jun-17,10-Sep-17,2018-08-10,4,4,4,3,3,3
94,Ross Islets,48.872095,-125.161593,29-May-94,19-May-95,26-Jun-17,10-Sep-17,2018-08-14,4,4,4,2,1,1.5
95,Ross Islets,48.875072,-125.164307,29-May-94,19-May-95,25-Jun-17,10-Sep-17,2018-08-10,6.5,7,6,3,5,4
96,Ross Islets,48.874192,-125.162649,29-May-94,19-May-95,25-Jun-17,10-Sep-17,2018-08-10,6,8,4,2,2,2
100,Sanford Island,48.865213,-125.171261,08-Jun-94,30-Jun-95,04-Sep-17,NA,2018-07-11,6.5,7,6,5,6,5.5
101,Sanford Island,48.86601,-125.173179,08-Jun-94,30-Jun-95,04-Sep-17,NA,2018-07-11,5,6,4,6,5,5.5
102,Sanford Island,48.87099,-125.171427,08-Jun-94,16-Jun-95,06-Sep-17,NA,2018-07-11,5,6,4,5,5,5
103,Sanford Island,48.870678,-125.17178,08-Jun-94,10-Jul-95,06-Sep-17,NA,2018-07-11,4.5,5,4,3,5,4
105,Flemming Island,48.884797,-125.150315,09-Jun-94,16-Jun-95,26-Jun-17,NA,2018-08-10,3.5,3,4,0,1,0.5
107,Flemming Island,48.884945,-125.14714,09-Jun-94,16-Jun-95,26-Jun-17,NA,2018-08-10,3,3,3,2,2,2
112,Flemming Island,48.878488,-125.144102,11-Jun-94,13-Jun-95,26-Jun-17,08-Sep-17,2018-07-11,3.5,3,4,1,1,1
113,Flemming Island,48.880801,-125.137096,11-Jun-94,13-Jun-95,07-Sep-17,NA,2018-08-15,2.5,3,2,1,1,1
114,Flemming Island,48.891793,-125.115041,11-Jun-94,13-Jun-95,28-Jun-17,08-Sep-17,2018-08-15,2,3,1,1,0,0.5
119,Folger Island,48.830687,-125.248756,12-Jun-94,27-Jun-95,05-Sep-17,NA,2018-07-10,2.5,4,1,5,6,5.5
121,Flemming Island,48.881603,-125.158976,09-Jun-94,16-Jun-95,04-Sep-17,NA,2018-08-10,4.5,5,4,5,7,6
